GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1131844698,20231008,202310,2023,2023.7616,PTY,POLITICIAN,,,,,,,,,,,,,,,,,,,0,138,138,13,3,-7.0,10,1,10,-2.70793036750483,1,Israel,IS,IS,,31.5,34.75,IS,0,,,,,,,,1,Israel,IS,IS,,31.5,34.75,IS,20231008151500,https://www.tagesschau.de/inland/debatte-hilfen-palaestinenser-100.html
1131844461,20231008,202310,2023,2023.7616,ISR,ISRAELI,ISR,,,,,,,,ISRGOV,ISRAEL,ISR,,,,,GOV,,,1,181,181,18,4,-9.0,4,1,4,-4.57209847596718,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20231008151500,https://www.tagesschau.de/eilmeldung/gaza-israel-angriff-110.html
1131758608,20231008,202310,2023,2023.7616,JEW,JEWISH,,,,JEW,,,,,,,,,,,,,,,1,138,138,13,3,-7.0,10,1,10,-4.40881763527054,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,0,,,,,,,,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20231008030000,https://www.tagesschau.de/newsticker/liveblog-israel-gaza-102.html
1131758625,20231008,202310,2023,2023.7616,MED,BLOG,,,,,,MED,,,JEW,JEWISH,,,,JEW,,,,,1,138,138,13,3,-7.0,10,1,10,-4.40881763527054,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,20231008030000,https://www.tagesschau.de/newsticker/liveblog-israel-gaza-102.html
1138688423,20231008,202310,2023,2023.7616,BUS,BUSINESS,,,,,,BUS,,,DEU,GERMANY,DEU,,,,,,,,1,0311,031,03,1,5.2,10,1,10,-2.21327967806841,1,Germany,GM,GM,,51.5,10.5,GM,1,Germany,GM,GM,,51.5,10.5,GM,1,Germany,GM,GM,,51.5,10.5,GM,20231107153000,https://www.tagesschau.de/wirtschaft/unternehmen/dihk-investition-deutschland-ausland-100.html
1131879186,20231008,202310,2023,2023.7616,ISRGOV,ISRAELI,ISR,,,,,GOV,,,,,,,,,,,,,1,181,181,18,4,-9.0,6,1,6,-5.21212121212121,1,Israel,IS,IS,,31.5,34.75,IS,0,,,,,,,,1,Gaza Strip,GZ,GZ,,31.425074,34.373398,GZ,20231008200000,https://www.tagesschau.de/ausland/asien/gaza-israel-angriff-110.html
1131879169,20231008,202310,2023,2023.7616,ISR,ISRAELI,ISR,,,,,,,,ISRGOV,ISRAEL,ISR,,,,,GOV,,,1,181,181,18,4,-9.0,4,1,4,-5.21212121212121,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,1,Gaza Strip,GZ,GZ,,31.425074,34.373398,GZ,20231008200000,https://www.tagesschau.de/ausland/asien/gaza-israel-angriff-110.html
1131879097,20231008,202310,2023,2023.7616,GOV,CHANCELLOR,,,,,,GOV,,,ISR,ISRAELI,ISR,,,,,,,,0,173,173,17,4,-5.0,10,1,10,-6.90265486725664,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,20231008200000,https://www.tagesschau.de/inland/regional/berlin/palaestinenser-neukoelln-100.html
1131905882,20231009,202310,2023,2023.7644,IGOUNO,UNSC,,UNO,,,,IGO,,,PSE,PALESTINIAN,PSE,,,,,,,,0,173,173,17,4,-5.0,10,1,10,-4.64547677261613,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,20231009001500,https://www.tagesschau.de/newsticker/liveblog-israel-gaza-montag-100.html
1131906055,20231009,202310,2023,2023.7644,MED,BLOG,,,,,,MED,,,IGOUNO,UN SECURITY COUNCIL,,UNO,,,,IGO,,,1,173,173,17,4,-5.0,10,1,10,-4.64547677261613,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,1,Gaza Strip,GZ,GZ,,31.425074,34.373398,GZ,20231009001500,https://www.tagesschau.de/newsticker/liveblog-israel-gaza-montag-100.html
